ID,SCHOOL,DISTRICT,URBAN,FIRSTSUS,MALE,RACE,POVERTY,SPED,GRADE,enrolldate,exitdate,MONTH,GRADE7,GRADE8,INCIDENT,INC2,SCHLINC,SCHLENR,SCHLEXIT,SCHINC,SCHENRL,SCHEXIT,QUARTER,_st,_d,_t,_t0
8648,8448,3269,1,1,0,2,1,1,7,18141,18430,1,1,0,18163,2009-09-23,16,1,289,16,1,180,1,1,1,15,0
5577,8448,3269,1,1,0,2,1,0,7,18141,18430,1,1,0,18163,2009-09-23,16,1,289,16,1,180,1,1,1,15,0
9592,8582,3269,1,1,1,3,0,0,6,18141,18430,1,0,0,18164,2009-09-24,17,1,289,17,1,180,1,1,1,16,0
8382,8448,3269,1,1,1,2,1,1,7,18141,18424,1,1,0,18164,2009-09-24,17,1,283,17,1,179,1,1,1,16,0
9230,8448,3269,1,1,1,2,1,1,7,18141,18235,1,1,0,18164,2009-09-24,17,1,94,17,1,63,1,1,1,16,0
4485,7644,6181,0,1,1,5,1,1,7,18141,18430,1,1,0,18164,2009-09-24,17,1,289,17,1,180,1,1,1,16,0
11911,8444,3269,1,1,1,5,0,0,7,18141,18424,1,1,0,18165,2009-09-25,18,1,283,18,1,179,1,1,1,17,0
7682,39604,5656,0,1,1,5,0,0,6,18141,18221,1,0,0,18165,2009-09-25,18,1,80,18,1,55,1,1,1,17,0
13243,8444,3269,1,1,1,2,1,1,7,18141,18430,1,1,0,18165,2009-09-25,18,1,289,18,1,180,1,1,1,17,0
12196,8631,3269,1,1,1,2,1,1,7,18149,18430,1,1,0,18165,2009-09-25,18,6,289,18,6,180,1,1,1,17,5
11666,7873,3269,1,1,1,2,1,1,6,18141,18301,1,0,0,18165,2009-09-25,18,1,160,18,1,98,1,1,1,17,0
8594,7873,3269,1,1,1,5,1,1,6,18141,18430,1,0,0,18165,2009-09-25,18,1,289,18,1,180,1,1,1,17,0
7582,8448,3269,1,1,1,2,1,0,6,18141,18430,1,0,0,18168,2009-09-28,19,1,289,19,1,180,1,1,1,18,0
12207,8448,3269,1,1,1,2,1,0,6,18141,18430,1,0,0,18168,2009-09-28,19,1,289,19,1,180,1,1,1,18,0
8472,8582,3269,1,1,0,2,1,1,8,18141,18268,1,0,1,18168,2009-09-28,19,1,127,19,1,76,1,1,1,18,0
7480,7874,3269,1,1,1,5,0,0,7,18141,18430,1,1,0,18168,2009-09-28,19,1,289,19,1,180,1,1,1,18,0
6362,8582,3269,1,1,1,4,1,1,6,18141,18430,1,0,0,18168,2009-09-28,19,1,289,19,1,180,1,1,1,18,0
715,7736,3269,1,1,1,2,0,1,6,18141,18430,1,0,0,18169,2009-09-29,20,1,289,20,1,180,1,1,1,19,0
868,8444,3269,1,1,0,2,1,1,7,18141,18430,1,1,0,18169,2009-09-29,20,1,289,20,1,180,1,1,1,19,0
8512,8444,3269,1,1,1,1,1,1,8,18141,18424,1,0,1,18169,2009-09-29,20,1,283,20,1,179,1,1,1,19,0
6719,8582,3269,1,1,1,2,1,0,6,18141,18430,1,0,0,18169,2009-09-29,20,1,289,20,1,180,1,1,1,19,0
